home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck,date
Boston University,Colgate,63,79,103.3,102.6,66.3,0.002,107.2,102.5,68.5,0.02,2/10/2020
South Carolina St.,Delaware St.,100,86,94.9,113.2,67.4,0.014,94.1,117.2,74.7,-0.042,2/10/2020
Gardner Webb,High Point,86,55,102.2,106.7,66.2,-0.047,94.5,113.6,66.4,0.035,2/10/2020
Bethune Cookman,Howard,87,68,95.4,105.8,73,0.012,93.6,119.7,70.2,-0.015,2/10/2020
Coppin St.,Maryland Eastern Shore,68,67,89.6,105.3,73.4,0.038,81.7,107.8,67.5,-0.024,2/10/2020
Hampton,UNC Asheville,80,70,104.8,116.7,70.9,0.041,98.7,110.3,71,0.017,2/10/2020
Florida A&M,North Carolina A&T,79,60,94.4,107.3,68.6,0.1,92.3,102.4,73.7,0.068,2/10/2020
Morgan St.,North Carolina Central,57,58,93.2,107.5,69.6,0.039,94.2,103.2,66.6,0.065,2/10/2020
Northern Colorado,Portland St.,71,83,110.2,100.1,65,-0.035,108.8,108.8,71.8,0,2/10/2020
Winthrop,Radford,77,81,104.7,102.1,71.9,-0.044,105.6,106.8,64.3,0.026,2/10/2020
Jackson St.,Southern,67,51,92.8,102.3,68.7,-0.012,97.2,104.8,66.8,0.006,2/10/2020
San Diego St.,New Mexico,82,59,115.1,90.6,64.6,-0.008,105.3,102.4,71.8,0.044,2/11/2020
Dayton,Rhode Island,81,67,119.1,94.1,67.6,0.002,105.2,94.2,71.2,0.068,2/11/2020
Maryland,Nebraska,72,70,113.5,92.4,67,0.037,102,101.3,73.1,-0.047,2/11/2020
Vanderbilt,Kentucky,64,78,104.7,104.5,69.4,-0.061,112.7,95.1,67.7,0.018,2/11/2020
Purdue,Penn St.,76,88,109.3,90.8,64.6,-0.104,110.3,92.4,70.9,0.014,2/11/2020
Illinois,Michigan St.,69,70,110.9,93.7,66,0.022,115.2,91.2,69.1,-0.012,2/11/2020
LSU,Missouri,82,78,118.1,102.4,70,-0.02,104.1,96.7,66.5,-0.057,2/11/2020
Boise St.,Air Force,74,57,107,97.6,69.1,0.025,107.8,110.3,68.8,-0.059,2/11/2020
Tennessee,Arkansas,82,61,106.6,95.8,65.2,-0.02,109.1,95.5,71.2,-0.047,2/11/2020
Akron,Bowling Green,74,59,108.5,98.9,69.4,0.022,104.3,104,70.1,0.142,2/11/2020
Central Michigan,Eastern Michigan,70,73,102,106.4,73.6,-0.036,94.2,96.6,66.8,0.028,2/11/2020
Davidson,Fordham,79,49,112.5,101.9,64.8,-0.094,89.1,95.9,64.8,-0.1,2/11/2020
Toledo,Miami OH,65,57,106.3,105.1,68.1,-0.057,102,107,67.1,-0.022,2/11/2020
Ole Miss,Mississippi St.,83,58,106.3,105.1,68.1,-0.057,113.4,99.8,66.2,-0.001,2/11/2020
Wake Forest,UNC,74,57,108.7,102,70.1,-0.034,113.4,99.8,66.2,-0.001,2/11/2020
Syracuse,NC St.,74,79,112.8,99.6,68.3,-0.06,113.4,99.8,66.2,-0.001,2/11/2020
Ball St.,Northern Illinois,63,59,99.2,94,68,-0.089,99.8,100.8,64.8,0.044,2/11/2020
Virginia,Notre Dame,50,49,99.3,85.1,59.4,0.109,110.7,98.6,68.1,-0.021,2/11/2020
Kansas St.,Oklahoma St.,59,64,102.5,94.2,67.2,-0.129,107.2,94.5,68.4,0.034,2/11/2020
St. Joseph's,St. Bonaventure,56,74,102.5,94.2,67.2,-0.129,106.6,102.2,65.7,0.052,2/11/2020
Colorado St.,Utah St.,72,75,109.3,102.1,69.3,0.045,109.5,94.6,67.4,0.034,2/11/2020
Ohio,Western Michigan,73,61,103.6,103.3,68,-0.01,99.4,105.7,67.4,0.043,2/11/2020
West Virginia,Kansas,49,58,108.3,87.1,69.4,-0.028,115.8,85.5,67.3,0.04,2/12/2020
Georgia Tech,Louisville,64,58,103.1,91.8,70,-0.006,114.5,93.1,67.1,-0.003,2/12/2020
Seton Hall,Creighton,82,87,112.3,92.7,69.8,0.006,118.2,97.3,68.3,0.072,2/12/2020
Auburn,Alabama,95,91,111.4,95.5,69.2,0.103,111,99.5,74.8,-0.076,2/12/2020
Villanova,Marquette,72,71,113.9,94,66.2,0.082,114,96.9,70.7,-0.046,2/12/2020
Butler,Xavier,66,61,112.6,94.2,63.7,0.032,106.1,92.2,68.1,-0.013,2/12/2020
South Florida,Houston,58,62,100.2,95.9,64.9,-0.047,112.7,92.3,65.7,-0.052,2/12/2020
Hartford,Albany,66,60,94.4,101.1,68.2,0.048,94.3,103.9,68.5,0.011,2/12/2020
Miami FL,Boston College,85,58,107.7,101.3,68.3,0.034,99.6,100.3,69.3,0.065,2/12/2020
Navy,Bucknell,60,59,98.1,106,62.5,0.018,96.2,102.9,69.5,0.004,2/12/2020
UC Riverside,UC Irvine,59,63,95.8,99.8,63.2,-0.029,105.4,99.3,67.7,-0.064,2/12/2020
Niagara,Canisius,69,66,100.1,111.6,66,0.068,97.7,105.7,70,-0.04,2/12/2020
ETSU,The Citadel,91,67,100.1,111.6,66,0.068,94.9,112.2,73.7,0.02,2/12/2020
Pitt,Clemson,52,72,100.1,111.6,66,0.068,103.9,93.5,66,-0.043,2/12/2020
SMU,UConn,79,75,112.4,103.8,64.8,0.004,103.9,93.5,66,-0.043,2/12/2020
Missouri St.,Drake,97,62,104.8,100.2,68.3,-0.083,102,101.3,67.9,0.065,2/12/2020
Tulsa,East Carolina,70,56,103.2,93.6,65.8,0.076,99.6,104,70.6,-0.01,2/12/2020
Texas A&M,Florida,61,78,101,97.2,64.5,0.098,112.5,95.7,64.9,-0.047,2/12/2020
San Jose St.,Fresno St.,78,84,97.5,107.8,73.3,0.009,105.1,104.1,64.2,-0.117,2/12/2020
Samford,Furman,71,86,98.6,112.6,72.8,0.008,107.7,98.1,68.2,0.041,2/12/2020
VCU,George Mason,67,72,104.7,94.4,69,-0.064,101.3,101.3,67,0.056,2/12/2020
Lehigh,Holy Cross,89,82,97,108.8,68.4,0.046,95.9,117.3,68.3,-0.042,2/12/2020
Abilene Christian,Houston Baptist,81,67,99.1,100.2,68.4,-0.023,102.9,122.3,76.1,0.002,2/12/2020
Northern Iowa,Illinois St.,71,63,112.7,99.3,65.8,0.019,98.4,102.9,68.5,-0.005,2/12/2020
Northwestern St.,Incarnate Word,70,60,98.3,107.1,72.4,0.015,90.3,112.8,66.1,0.066,2/12/2020
Bradley,Indiana St.,72,61,106.8,100.7,67.1,0.036,105.8,101.2,66.4,0.043,2/12/2020
Oklahoma,Iowa St.,90,61,108.8,93.1,69.6,0.031,109.6,101.2,69.9,-0.092,2/12/2020
Army,Lafayette,65,48,98.8,107.4,69.5,0.046,100.6,105.5,66.9,0.101,2/12/2020
Nicholls St.,Lamar,69,65,99.7,101.5,68.7,0.05,96.3,102.5,69.6,0.003,2/12/2020
Hawaii,Long Beach St.,49,50,97.6,101,68.4,0.029,94.2,105.3,70.9,0.08,2/12/2020
Evansville,Loyola Chicago,66,73,96.9,107.4,67.6,0.015,103.7,96.8,65.3,0.006,2/12/2020
American,Loyola Marymount,81,76,101.1,104,68.7,-0.033,100.6,104,63,-0.022,2/12/2020
UMass-Lowell,Maine,71,63,101.1,104,68.7,-0.033,92.9,106.8,65.9,-0.03,2/12/2020
Wofford,Mercer,68,70,104.5,103.4,65.9,-0.019,100.1,102.7,68.1,0.014,2/12/2020
Northwestern,Michigan,54,79,104.9,101.3,66.7,-0.087,113.2,93,68.7,-0.048,2/12/2020
UAB,Middle Tennessee,83,72,100.8,102.1,65.7,0.048,97.5,108.2,69.8,0.003,2/12/2020
Oral Roberts,Nebraska Omaha,81,78,108.2,104.9,70.4,-0.103,103.2,107.7,69.2,0.077,2/12/2020
UNLV,Nevada,79,82,107.9,100.6,67,-0.019,110.3,101,71,-0.007,2/12/2020
Vermont,New Hampshire,74,50,106.5,96.4,66.3,-0.027,95,102.1,68.6,0.011,2/12/2020
Central Arkansas,New Orleans,73,68,98,107.6,73.2,-0.021,99.3,114.8,69.8,-0.044,2/12/2020
St. John's,Providence,80,69,106.1,95.2,72.9,-0.037,107.8,92.8,68.4,-0.008,2/12/2020
Towson,Regent,71,55,105.7,104.8,65.1,0.014,107.8,92.8,68.4,-0.008,2/12/2020
La Salle,Richmond,47,74,99.6,100.4,69.1,0.057,109.2,95.3,69.3,0.044,2/12/2020
Ohio St.,Rutgers,72,66,114.3,92,66.2,-0.038,107.9,90.2,67.4,-0.042,2/12/2020
Southeastern Louisiana,Sam Houston St.,70,79,92,109.6,72.1,-0.008,99.5,103.7,71.1,-0.028,2/12/2020
Georgia,South Carolina,59,75,108.2,100.8,70.5,-0.017,105.4,94.7,73.1,-0.023,2/12/2020
Valparaiso,Southern Illinois,55,38,104.5,102.5,69.3,0.02,98.2,98.6,64.2,-0.002,2/12/2020
Texas A&M Corpus Chris,Stephen F. Austin,67,75,94.3,106,65.7,0.029,104.1,97.1,71.8,0.042,2/12/2020
Binghamton,Stony Brook,70,75,99.7,116.9,68.6,0.073,97.7,99.4,69.8,0.021,2/12/2020
Tulane,Temple,68,72,101.9,103.1,68.7,-0.014,100.1,94.6,70.3,-0.052,2/12/2020
Chattanooga,VMI,86,67,106.6,104.8,67,0.025,100.2,108.1,67.9,-0.143,2/12/2020
UNC Greensboro,Western Carolina,82,62,103.7,95.5,67.8,-0.009,107.3,106.3,71.5,0.049,2/12/2020
South Dakota,Western Illinois,85,72,108.6,108.9,70,0.011,98.3,115,71.3,-0.082,2/12/2020
Oregon,Colorado,68,60,117.1,97.1,65,0.023,109.1,93.4,68.2,-0.01,2/13/2020
Indiana,Iowa,89,77,108.5,92.7,67.9,0.016,117.3,98.6,70.2,0.005,2/13/2020
Georgia St.,Appalachian St.,76,65,105.6,101.4,73,-0.035,99.9,100.2,67.2,0.041,2/13/2020
California,Arizona,52,68,101.5,100.4,65.2,0.09,111,91.4,69.3,-0.077,2/13/2020
Stanford,Arizona St.,69,74,104.4,90.3,68.3,-0.08,106,94.7,73.2,0.069,2/13/2020
Texas St.,Little Rock,74,66,106.3,98.3,65.2,-0.05,106.4,102.5,69.3,0.069,2/13/2020
UT Arlington,Arkansas St.,77,67,102.3,98.4,67.7,-0.13,104.2,107.5,67.3,0.042,2/13/2020
Loyola Marymount,BYU,54,77,100.6,104,63,-0.022,116.3,95.6,69.5,-0.028,2/13/2020
Sacred Heart,Bryant,74,65,102.2,104.8,68.7,0.019,97.8,103.8,70.3,-0.055,2/13/2020
Cal St. Northridge,Cal Poly,81,73,107.4,113.3,70.3,0.071,95.2,108.5,68.3,-0.038,2/13/2020
UC Davis,UCSB,84,75,104.7,109.4,68,-0.024,95.2,108.5,68.3,-0.038,2/13/2020
North Texas,Charlotte,81,72,111.2,101.2,62.9,-0.032,98.5,98,65.5,0.008,2/13/2020
Cal St. Bakersfield,Chicago St.,64,54,96.2,104.9,64.9,-0.063,86.9,120.8,69,-0.029,2/13/2020
Oakland,Cleveland St.,79,74,98.6,105,66.1,-0.014,92.9,105.7,67.1,0.048,2/13/2020
Georgia Southern,Coastal Carolina,79,69,102.2,98.8,71.8,0.005,104.8,106.2,72.8,-0.033,2/13/2020
Hofstra,Charleston,76,63,108.7,102.6,67.9,0.064,105,104.9,65.9,-0.004,2/13/2020
Elon,Delaware,75,81,100.6,110,66.2,-0.013,105.6,106.4,68.3,0.074,2/13/2020
William & Mary,Drexel,77,72,103.3,105.5,67.5,0.132,100,106.7,67.3,0.002,2/13/2020
Morehead St.,Eastern Kentucky,71,78,94.6,108.1,67.3,-0.001,95.4,104.9,74.5,0.07,2/13/2020
Southern Miss,Florida Atlantic,68,66,94.4,103.8,67.2,-0.01,99.7,101.3,68.8,-0.001,2/13/2020
Kennesaw St.,Florida Gulf Coast,58,70,83.5,112.2,68.2,-0.042,91.2,103.3,66.1,-0.032,2/13/2020
Louisiana Tech,FIU,60,57,108.7,98.2,66.5,-0.023,103.7,102.1,72.2,0.01,2/13/2020
Campbell,Hampton,75,49,96.8,105.3,65.6,-0.047,104.8,116.7,70.9,0.041,2/13/2020
Charleston Southern,High Point,66,63,95.4,109.1,66.9,0.033,94.5,113.6,66.4,0.035,2/13/2020
Eastern Washington,Idaho,71,74,105.4,101.1,73.1,0.121,92.8,107.1,68.9,-0.023,2/13/2020
Montana St.,Idaho St.,73,69,97,101.6,67.3,0.056,100.8,111.1,67.4,0.008,2/13/2020
North Florida,Jacksonville,81,66,112,111.6,69.4,0.034,96,102.5,66.6,-0.072,2/13/2020
Tennessee Tech,Jacksonville St.,75,74,92.5,109.3,66.9,0.025,95.8,105.5,68.1,-0.078,2/13/2020
Central Connecticut,LIU,74,90,90.3,114,69.5,-0.014,97.4,106.1,72.8,0.017,2/13/2020
UNC Asheville,Longwood,73,71,98.7,110.3,71,0.017,91.3,105.1,67.8,-0.001,2/13/2020
South Alabama,Louisiana,78,75,104.9,103.9,65.3,0.063,101.3,106.2,71.8,0.02,2/13/2020
Troy,Louisiana Monroe,71,74,96.2,106.6,69.3,-0.027,96.1,103.7,64.9,-0.056,2/13/2020
UTSA,Marshall,72,63,104.2,108,72.8,-0.047,101.2,99.1,74.9,-0.037,2/13/2020
Cincinnati,Memphis,92,86,108.8,94.7,68,-0.013,100.6,89.1,72.6,0.025,2/13/2020
St. Francis NY,Merrimack,50,60,94.6,106.5,70.3,0.024,93.9,98.8,63.2,0.137,2/13/2020
Grand Canyon,UMKC,71,66,103.4,112.1,68,0.02,97.5,103.6,64.9,0.048,2/13/2020
Austin Peay,Murray St.,71,68,106.9,107,67.8,0.032,102.4,99.3,68.9,-0.03,2/13/2020
Lipscomb,NJIT,77,63,101.2,108,68.7,0.053,94.7,105.8,66.9,-0.079,2/13/2020
Stetson,North Alabama,75,64,98.1,108.3,63.2,0.083,96,105.6,70.1,-0.011,2/13/2020
Northeastern,UNC Wilmington,71,63,105.4,103.2,65.9,-0.113,92.1,104.5,68.5,0.019,2/13/2020
Northern Arizona,Northern Colorado,54,84,102.3,106.7,66.6,0.071,110.2,100.1,65,-0.035,2/13/2020
Rice,Old Dominion,70,73,105.8,108.4,70.1,-0.004,98.3,98.3,66.4,-0.091,2/13/2020
Pacific,Portland,75,55,103.8,99.1,64.9,0.072,94.4,104.3,69.3,-0.015,2/13/2020
Radford,Presbyterian,81,71,105.6,106.8,64.3,0.026,96.9,114.4,66.9,0.005,2/13/2020
Mount St. Mary's,Robert Morris,60,77,96.4,107.5,63.2,-0.074,100.5,103.8,66.1,0.027,2/13/2020
Pepperdine,San Diego,72,69,107.2,104.4,70.8,0.034,94.4,99.8,70.2,-0.032,2/13/2020
Santa Clara,San Francisco,61,70,102.6,101.3,71.6,0.049,108.3,98.2,68.7,-0.006,2/13/2020
New Mexico St.,Seattle,72,64,107.6,99.4,63.5,0.06,101.2,105.5,69.9,-0.051,2/13/2020
Eastern Illinois,SIU-Edwardsville,74,76,98.2,104.5,69.1,-0.05,101.2,105.5,69.9,-0.051,2/13/2020
Sacramento St.,Southern Utah,70,55,97.1,98.2,63.9,-0.026,98.8,98.1,69.3,-0.063,2/13/2020
Southeast Missouri St.,UT-Martin,74,72,94,113,67.6,-0.016,98.8,98.1,69.3,-0.063,2/13/2020
Belmont,Tennessee St.,74,51,106.5,100.5,70.5,0.012,96.4,104.6,69.3,0.054,2/13/2020
Oregon St.,Utah,70,51,110.9,102,65.6,-0.002,106.3,100.8,66.7,0.029,2/13/2020
UT Rio Grande Valley,Utah Valley,80,72,98.7,106,70.4,-0.013,96.5,104.2,70.4,-0.092,2/13/2020
Fairleigh Dickinson,Wagner,106,73,102.1,112.4,68.9,-0.027,97.3,113.9,67.5,-0.024,2/13/2020
USC,Washington,62,56,104.3,92,68.9,0.083,105.8,93.1,69.8,-0.157,2/13/2020
UCLA,Washington St.,86,83,109.3,99.4,64.9,0.047,102.2,98,70.8,-0.002,2/13/2020
Montana,Weber St.,72,37,103.2,100.1,68.2,0.019,98.8,107.9,67.6,0.015,2/13/2020
Cal Baptist,Westcliff,107,45,105.3,108.1,68.6,0.029,98.8,107.9,67.6,0.015,2/13/2020
UTEP,Western Kentucky,62,67,96.9,98.2,67.5,-0.005,108.9,103.3,68.3,0.023,2/13/2020
UCF,Wichita St.,58,75,103.5,98.6,67.8,0.002,105.6,90.4,69.5,0.041,2/13/2020
Gardner Webb,Winthrop,74,70,102.2,106.7,66.2,-0.047,104.7,102.1,71.9,-0.044,2/13/2020
Detroit,Youngstown St.,72,76,99.9,111.7,69.3,-0.031,103,108.5,66.4,0.038,2/13/2020
Central Michigan,Akron,67,80,102,106.4,73.6,-0.036,108.5,98.9,69.4,0.022,2/14/2020
Penn,Brown,63,75,103.4,100.8,70.2,0.025,96.4,101.1,69.4,0.12,2/14/2020
Toledo,Buffalo,67,83,106.3,105.1,68.1,-0.057,104.1,102.3,73.9,0.045,2/14/2020
Dartmouth,Columbia,65,63,96.7,99.9,65.8,-0.081,95.2,106.5,69.1,-0.13,2/14/2020
Harvard,Cornell,85,63,104.7,99,68.8,0.039,101.2,110.3,65.2,-0.105,2/14/2020
St. Bonaventure,Davidson,64,93,106.6,102.2,65.7,0.052,112.5,101.9,64.8,-0.094,2/14/2020
South Dakota St.,Denver,90,78,110,105.3,68,-0.022,95,106.8,70.9,-0.044,2/14/2020
Marist,Fairfield,53,57,90.2,103.8,65.2,-0.105,90.1,101.6,63.2,0.045,2/14/2020
Wright St.,UIC,75,58,104.9,101.4,72.1,0.033,90.1,101.6,63.2,0.045,2/14/2020
North Dakota St.,Purdue Fort Wayne,80,70,106.8,101.2,66,0.032,95.4,103.8,67.9,-0.006,2/14/2020
Northern Kentucky,IUPUI,84,70,102,99.8,65.7,0.074,99.4,115.6,70.8,-0.068,2/14/2020
Iona,Manhattan,80,57,101.6,106.1,68.7,-0.077,92.8,101.6,65.8,-0.011,2/14/2020
Canisius,Monmouth,71,85,97.7,105.7,70,-0.04,99.1,101.8,72.6,0.061,2/14/2020
St. Peter's,Quinnipiac,84,72,97.7,105.7,70,-0.04,100.7,108.3,68.9,0.028,2/14/2020
Siena,Rider,73,64,107.2,105.1,66.7,-0.001,100.9,102.1,71.1,0.036,2/14/2020
Princeton,Yale,64,88,107,105.5,66.3,-0.025,107.9,96.4,67.4,-0.026,2/14/2020
Baylor,West Virginia,70,59,113.5,88.1,66.2,0.016,108.3,87.1,69.4,-0.028,2/15/2020
Pepperdine,Gonzaga,77,89,107.2,104.4,70.8,0.034,121.3,94.4,71.9,0.05,2/15/2020
Kansas,Oklahoma,87,70,115.8,85.5,67.3,0.04,108.8,93.1,69.6,0.031,2/15/2020
Clemson,Louisville,77,62,103.9,93.5,66,-0.043,114.5,93.1,67.1,-0.003,2/15/2020
UMass,Dayton,63,71,103.9,93.5,66,-0.043,119.1,94.1,67.6,0.002,2/15/2020
Duke,Notre Dame,94,60,115.7,91.1,72,-0.009,110.7,98.6,68.1,-0.021,2/15/2020
Florida St.,Syracuse,80,77,111.7,91.5,69.9,0.065,112.8,99.6,68.3,-0.06,2/15/2020
Michigan St.,Maryland,60,67,115.2,91.2,69.1,-0.012,113.5,92.4,67,0.037,2/15/2020
Providence,Seton Hall,74,71,107.8,92.8,68.4,-0.008,112.3,92.7,69.8,0.006,2/15/2020
Missouri,Auburn,85,73,104.1,96.7,66.5,-0.057,111.4,95.5,69.2,0.103,2/15/2020
Kentucky,Ole Miss,67,62,112.7,95.1,67.7,0.018,111.4,95.5,69.2,0.103,2/15/2020
Penn St.,Northwestern,77,61,110.3,92.4,70.9,0.014,104.9,101.3,66.7,-0.087,2/15/2020
Oregon St.,Colorado,47,69,110.9,102,65.6,-0.002,109.1,93.4,68.2,-0.01,2/15/2020
Butler,Georgetown,66,73,112.6,94.2,63.7,0.032,111,100.2,70,-0.049,2/15/2020
SMU,Houston,73,72,112.4,103.8,64.8,0.004,112.7,92.3,65.7,-0.052,2/15/2020
Rutgers,Illinois,72,57,107.9,90.2,67.4,-0.042,110.9,93.7,66,0.022,2/15/2020
Creighton,DePaul,93,64,118.2,97.3,68.3,0.072,103.4,95.5,70.6,0.022,2/15/2020
Oklahoma St.,Texas Tech,73,70,107.2,94.5,68.4,0.034,109.8,90.5,67.3,-0.113,2/15/2020
Alabama,LSU,88,82,111,99.5,74.8,-0.076,118.1,102.4,70,-0.02,2/15/2020
