home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck,date
Texas A&M Corpus Chris,Abilene Christian,64,78,94.3,106,65.7,0.029,99.1,100.2,68.4,-0.023,2/15/2020
Alabama St.,Alabama A&M,61,58,86.2,103.4,69.7,-0.022,87.9,108.2,67.7,0.014,2/15/2020
Middle Tennessee,UAB,66,79,97.5,108.2,69.8,0.003,100.8,102.1,65.7,0.048,2/15/2020
Bucknell,American,72,68,96.2,102.9,69.5,0.004,101.1,104,68.7,-0.033,2/15/2020
Georgia Southern,Appalachian St.,57,62,102.2,98.8,71.8,0.005,99.9,100.2,67.2,0.041,2/15/2020
Stanford,Arizona,60,69,104.4,90.3,68.3,-0.08,111,91.4,69.3,-0.077,2/15/2020
UT Arlington,Little Rock,76,65,102.3,98.4,67.7,-0.13,106.4,102.5,69.3,0.069,2/15/2020
Southern,Arkansas Pine Bluff,73,49,97.2,104.8,66.8,0.006,79,104.6,66.1,-0.008,2/15/2020
Texas St.,Arkansas St.,69,64,106.3,98.3,65.2,-0.05,104.2,107.5,67.3,0.042,2/15/2020
Maryland Eastern Shore,Bethune Cookman,66,58,81.7,107.8,67.5,-0.024,95.4,105.8,73,0.012,2/15/2020
Vermont,Binghamton,76,48,106.5,96.4,66.3,-0.027,99.7,116.9,68.6,0.073,2/15/2020
Navy,Boston University,54,77,98.1,106,62.5,0.018,103.3,102.6,66.3,0.002,2/15/2020
Ball St.,Bowling Green,71,77,99.2,94,68,-0.089,104.3,104,70.1,0.142,2/15/2020
Southern Illinois,Bradley,67,69,98.2,98.6,64.2,-0.002,106.8,100.7,67.1,0.036,2/15/2020
San Diego,BYU,71,72,94.4,99.8,70.2,-0.032,116.3,95.6,69.5,-0.028,2/15/2020
Princeton,Brown,73,54,107,105.5,66.3,-0.025,96.4,101.1,69.4,0.12,2/15/2020
Central Connecticut,Bryant,75,70,90.3,114,69.5,-0.014,97.8,103.8,70.3,-0.055,2/15/2020
Cal St. Fullerton,Cal Poly,105,101,95.9,104.5,69.3,0.01,95.2,108.5,68.3,-0.038,2/15/2020
UC Davis,Cal St. Northridge,110,98,104.7,109.4,68,-0.024,107.4,113.3,70.3,0.071,2/15/2020
Hawaii,UC Irvine,63,70,97.6,101,68.4,0.029,105.4,99.3,67.7,-0.064,2/15/2020
Long Beach St.,UC Riverside,65,63,94.2,105.3,70.9,0.08,95.8,99.8,63.2,-0.029,2/15/2020
Sam Houston St.,Central Arkansas,82,67,99.5,103.7,71.1,-0.028,98,107.6,73.2,-0.021,2/15/2020
UNC Asheville,Charleston Southern,79,75,98.7,110.3,71,0.017,95.4,109.1,66.9,0.033,2/15/2020
Rice,Charlotte,70,54,105.8,108.4,70.1,-0.004,98.5,98,65.5,0.008,2/15/2020
Furman,Chattanooga,58,53,107.7,98.1,68.2,0.041,106.6,104.8,67,0.025,2/15/2020
Grand Canyon,Chicago St.,71,47,103.4,112.1,68,0.02,86.9,120.8,69,-0.029,2/15/2020
Detroit,Cleveland St.,66,67,99.9,111.7,69.3,-0.031,92.9,105.7,67.1,0.048,2/15/2020
Georgia St.,Coastal Carolina,92,80,105.6,101.4,73,-0.035,104.8,106.2,72.8,-0.033,2/15/2020
Northeastern,Charleston,65,51,105.4,103.2,65.9,-0.113,105,104.9,65.9,-0.004,2/15/2020
Wyoming,Colorado St.,70,77,94.1,100.9,66.7,-0.017,109.3,102.1,69.3,0.045,2/15/2020
Harvard,Columbia,77,73,104.7,99,68.8,0.039,95.2,106.5,69.1,-0.13,2/15/2020
South Carolina St.,Coppin St.,70,66,94.9,113.2,67.4,0.014,89.6,105.3,73.4,0.038,2/15/2020
Dartmouth,Cornell,75,53,96.7,99.9,65.8,-0.081,101.2,110.3,65.2,-0.105,2/15/2020
William & Mary,Delaware,81,77,103.3,105.5,67.5,0.132,105.6,106.4,68.3,0.074,2/15/2020
Elon,Drexel,75,70,100.6,110,66.2,-0.013,100,106.7,67.3,0.002,2/15/2020
VMI,ETSU,67,72,100.2,108.1,67.9,-0.143,100,106.7,67.3,0.002,2/15/2020
UT-Martin,Eastern Illinois,80,79,100.2,108.1,67.9,-0.143,98.2,104.5,69.1,-0.05,2/15/2020
Austin Peay,Eastern Kentucky,93,85,106.9,107,67.8,0.032,95.4,104.9,74.5,0.07,2/15/2020
Portland St.,Eastern Washington,81,89,108.8,108.8,71.8,0,105.4,101.1,73.1,0.121,2/15/2020
Robert Morris,Fairleigh Dickinson,71,72,100.5,103.8,66.1,0.027,102.1,112.4,68.9,-0.027,2/15/2020
Delaware St.,Florida A&M,95,97,94.1,117.2,74.7,-0.042,94.4,107.3,68.6,0.1,2/15/2020
Louisiana Tech,Florida Atlantic,81,68,108.7,98.2,66.5,-0.023,99.7,101.3,68.8,-0.001,2/15/2020
Lipscomb,Florida Gulf Coast,64,54,101.2,108,68.7,0.053,91.2,103.3,66.1,-0.032,2/15/2020
Southern Miss,FIU,75,67,94.4,103.8,67.2,-0.01,103.7,102.1,72.2,0.01,2/15/2020
George Mason,George Washington,67,73,101.3,101.3,67,0.056,99.2,105.8,66.6,0.02,2/15/2020
Texas A&M,Georgia,74,69,101,97.2,64.5,0.098,108.2,100.8,70.5,-0.017,2/15/2020
Prairie View A&M,Grambling St.,75,69,96.3,100.5,70.7,-0.001,93.1,105.1,68.7,0.046,2/15/2020
Milwaukee,Green Bay,90,94,96,104.9,69.5,-0.015,105.8,110.5,74,0.045,2/15/2020
Longwood,Hampton,76,68,91.3,105.1,67.8,-0.001,104.8,116.7,70.9,0.041,2/15/2020
Lamar,Houston Baptist,79,69,96.3,102.5,69.6,0.003,102.9,122.3,76.1,0.002,2/15/2020
Montana,Idaho St.,78,63,103.2,100.1,68.2,0.019,100.8,111.1,67.4,0.008,2/15/2020
New Orleans,Incarnate Word,66,67,99.3,114.8,69.8,-0.044,90.3,112.8,66.1,0.066,2/15/2020
Texas Southern,Jackson St.,77,74,99.1,108.6,72.9,0.086,92.8,102.3,68.7,-0.012,2/15/2020
Belmont,Jacksonville St.,101,84,106.5,100.5,70.5,0.012,95.8,105.5,68.1,-0.078,2/15/2020
TCU,Kansas St.,68,57,105.5,96.1,65.1,-0.005,102.5,94.2,67.2,-0.129,2/15/2020
Stetson,Kennesaw St.,59,42,98.1,108.3,63.2,0.083,83.5,112.2,68.2,-0.042,2/15/2020
Saint Louis,La Salle,84,69,105.8,94.4,67.6,0.026,99.6,100.4,69.1,0.057,2/15/2020
Holy Cross,Lafayette,62,72,95.9,117.3,68.3,-0.042,100.6,105.5,66.9,0.101,2/15/2020
Army,Lehigh,79,66,98.8,107.4,69.5,0.046,97,108.8,68.4,0.046,2/15/2020
Troy,Louisiana,77,81,96.2,106.6,69.3,-0.027,101.3,106.2,71.8,0.02,2/15/2020
South Alabama,Louisiana Monroe,50,49,104.9,103.9,65.3,0.063,96.1,103.7,64.9,-0.056,2/15/2020
Santa Clara,Loyola Marymount,59,65,102.6,101.3,71.6,0.049,100.6,104,63,-0.022,2/15/2020
UTEP,Marshall,61,71,96.9,98.2,67.5,-0.005,101.2,99.1,74.9,-0.037,2/15/2020
Hartford,UMass-Lowell,67,74,94.4,101.1,68.2,0.048,101.2,99.1,74.9,-0.037,2/15/2020
Northwestern St.,McNeese St.,84,79,98.3,107.1,72.4,0.015,103,112.3,69,-0.039,2/15/2020
Arkansas,Mississippi St.,77,78,109.1,95.5,71.2,-0.047,113.4,99.8,66.2,-0.001,2/15/2020
Alcorn St.,Mississippi Valley St.,92,88,96.9,111.3,70.1,0.037,89.8,117.6,77.1,-0.027,2/15/2020
Cal St. Bakersfield,UMKC,53,59,96.2,104.9,64.9,-0.063,97.5,103.6,64.9,0.048,2/15/2020
Murray St.,Morehead St.,85,57,102.4,99.3,68.9,-0.03,94.6,108.1,67.3,-0.001,2/15/2020
Norfolk St.,Morgan St.,62,57,94.2,101.9,67.5,-0.052,93.2,107.5,69.6,0.039,2/15/2020
New Mexico,UNLV,73,78,105.3,102.4,71.8,0.044,107.9,100.6,67,-0.019,2/15/2020
UMBC,New Hampshire,65,59,97.8,105.7,66.8,0.011,95,102.1,68.6,0.011,2/15/2020
Liberty,NJIT,62,49,106.1,96.4,61.5,0.023,94.7,105.8,66.9,-0.079,2/15/2020
North Florida,North Alabama,80,67,112,111.6,69.4,0.034,96,105.6,70.1,-0.011,2/15/2020
Mercer,UNC Greensboro,55,67,100.1,102.7,68.1,0.014,103.7,95.5,67.8,-0.009,2/15/2020
Hofstra,UNC Wilmington,78,64,108.7,102.6,67.9,0.064,92.1,104.5,68.5,0.019,2/15/2020
Western Illinois,North Dakota,83,86,98.3,115,71.3,-0.082,102.2,107.7,68.9,0.038,2/15/2020
Sacramento St.,Northern Colorado,65,68,97.1,98.2,63.9,-0.026,110.2,100.1,65,-0.035,2/15/2020
Miami OH,Northern Illinois,65,60,102,107,67.1,-0.022,99.8,100.8,64.8,0.044,2/15/2020
Loyola Chicago,Northern Iowa,82,73,103.7,96.8,65.3,0.006,112.7,99.3,65.8,0.019,2/15/2020
Kent St.,Ohio,87,72,106.1,102.1,68.9,-0.011,103.6,103.3,68,-0.01,2/15/2020
North Texas,Old Dominion,64,47,111.2,101.2,62.9,-0.032,98.3,98.3,66.4,-0.091,2/15/2020
Saint Mary's,Pacific,71,63,113.7,98.5,63.9,0.055,103.8,99.1,64.9,0.072,2/15/2020
Virginia Tech,Pitt,67,57,104.3,98,65.5,-0.04,103.8,99.1,64.9,0.072,2/15/2020
Ohio St.,Purdue,68,52,114.3,92,66.2,-0.038,109.3,90.8,64.6,-0.104,2/15/2020
Campbell,Radford,60,73,96.8,105.3,65.6,-0.047,105.6,106.8,64.3,0.026,2/15/2020
LIU,Sacred Heart,72,80,97.4,106.1,72.8,0.017,102.2,104.8,68.7,0.019,2/15/2020
Mount St. Mary's,St. Francis PA,55,70,96.4,107.5,63.2,-0.074,107.6,107.9,68.9,0.037,2/15/2020
Rhode Island,St. Joseph's,73,55,105.2,94.2,71.2,0.068,107.6,107.9,68.9,0.037,2/15/2020
The Citadel,Samford,62,74,94.9,112.2,73.7,0.02,98.6,112.6,72.8,0.008,2/15/2020
Air Force,San Jose St.,95,86,107.8,110.3,68.8,-0.059,97.5,107.8,73.3,0.009,2/15/2020
UT Rio Grande Valley,Seattle,79,72,98.7,106,70.4,-0.013,101.2,105.5,69.9,-0.051,2/15/2020
High Point,USC Upstate,62,54,94.5,113.6,66.4,0.035,95.5,110.8,69.2,0.036,2/15/2020
Oral Roberts,South Dakota,94,80,108.2,104.9,70.4,-0.103,108.6,108.9,70,0.011,2/15/2020
Nicholls St.,Southeastern Louisiana,81,71,99.7,101.5,68.7,0.05,92,109.6,72.1,-0.008,2/15/2020
Southeast Missouri St.,SIU-Edwardsville,75,71,94,113,67.6,-0.016,92,109.6,72.1,-0.008,2/15/2020
Northern Arizona,Southern Utah,82,69,102.3,106.7,66.6,0.071,98.8,98.1,69.3,-0.063,2/15/2020
South Carolina,Tennessee,63,61,105.4,94.7,73.1,-0.023,106.6,95.8,65.2,-0.02,2/15/2020
Tennessee St.,Tennessee Tech,70,55,96.4,104.6,69.3,0.054,92.5,109.3,66.9,0.025,2/15/2020
Iowa St.,Texas,81,52,109.6,101.2,69.9,-0.092,104.1,92.6,65.9,0.089,2/15/2020
James Madison,Towson,48,63,99.5,111.6,72.1,-0.016,105.7,104.8,65.1,0.014,2/15/2020
South Florida,Tulsa,48,56,100.2,95.9,64.9,-0.047,103.2,93.6,65.8,0.076,2/15/2020
Fresno St.,Utah St.,59,71,105.1,104.1,64.2,-0.117,109.5,94.6,67.4,0.034,2/15/2020
New Mexico St.,Utah Valley,84,82,107.6,99.4,63.5,0.06,96.5,104.2,70.4,-0.092,2/15/2020
Illinois St.,Valparaiso,62,65,98.4,102.9,68.5,-0.005,104.5,102.5,69.3,0.02,2/15/2020
Florida,Vanderbilt,84,66,112.5,95.7,64.9,-0.047,104.7,104.5,69.4,-0.061,2/15/2020
UNC,Virginia,62,64,112.5,95.7,64.9,-0.047,99.3,85.1,59.4,0.109,2/15/2020
Richmond,VCU,77,59,109.2,95.3,69.3,0.044,104.7,94.4,69,-0.064,2/15/2020
Merrimack,Wagner,68,59,93.9,98.8,63.2,0.137,97.3,113.9,67.5,-0.024,2/15/2020
Miami FL,Wake Forest,71,54,107.7,101.3,68.3,0.034,108.7,102,70.1,-0.034,2/15/2020
UCLA,Washington,67,57,109.3,99.4,64.9,0.047,105.8,93.1,69.8,-0.157,2/15/2020
USC,Washington St.,70,51,104.3,92,68.9,0.083,102.2,98,70.8,-0.002,2/15/2020
Montana St.,Weber St.,77,63,97,101.6,67.3,0.056,98.8,107.9,67.6,0.015,2/15/2020
Wofford,Western Carolina,74,80,104.5,103.4,65.9,-0.019,107.3,106.3,71.5,0.049,2/15/2020
UTSA,Western Kentucky,73,77,104.2,108,72.8,-0.047,108.9,103.3,68.3,0.023,2/15/2020
Eastern Michigan,Western Michigan,69,51,94.2,96.6,66.8,0.028,99.4,105.7,67.4,0.043,2/15/2020
Presbyterian,Winthrop,88,89,96.9,114.4,66.9,0.005,104.7,102.1,71.9,-0.044,2/15/2020
Nebraska,Wisconsin,64,81,102,101.3,73.1,-0.047,110.8,91.9,63.7,0.031,2/15/2020
Penn,Yale,69,61,103.4,100.8,70.2,0.025,107.9,96.4,67.4,-0.026,2/15/2020
Oakland,Youngstown St.,72,64,98.6,105,66.1,-0.014,103,108.5,66.4,0.038,2/15/2020
Boise St.,San Diego St.,55,72,107,97.6,69.1,0.025,115.1,90.6,64.6,-0.008,2/16/2020
Temple,Villanova,56,76,100.1,94.6,70.3,-0.052,113.9,94,66.2,0.082,2/16/2020
Oregon,Utah,80,62,117.1,97.1,65,0.023,106.3,100.8,66.7,0.029,2/16/2020
Minnesota,Iowa,55,58,112.1,94.2,66.8,-0.13,117.3,98.6,70.2,0.005,2/16/2020
Maine,Albany,60,66,92.9,106.8,65.9,-0.03,94.3,103.9,68.5,0.011,2/16/2020
California,Arizona St.,75,80,101.5,100.4,65.2,0.09,106,94.7,73.2,0.069,2/16/2020
East Carolina,Cincinnati,67,70,99.6,104,70.6,-0.01,108.8,94.7,68,-0.013,2/16/2020
Loyola Marymount,Colgate,84,80,100.6,104,63,-0.022,107.2,102.5,68.5,0.02,2/16/2020
Nebraska Omaha,Denver,85,62,103.2,107.7,69.2,0.077,95,106.8,70.9,-0.044,2/16/2020
Fordham,Duquesne,54,59,89.1,95.9,64.8,-0.1,106.6,99,67.8,0.049,2/16/2020
Drake,Evansville,85,80,102,101.3,67.9,0.065,96.9,107.4,67.6,0.015,2/16/2020
St. Peter's,Fairfield,61,44,102,101.3,67.9,0.065,90.1,101.6,63.2,0.045,2/16/2020
Northern Kentucky,UIC,43,73,102,99.8,65.7,0.074,90.1,101.6,63.2,0.045,2/16/2020
Michigan,Indiana,89,65,113.2,93,68.7,-0.048,108.5,92.7,67.9,0.016,2/16/2020
South Dakota St.,Purdue Fort Wayne,75,64,110,105.3,68,-0.022,95.4,103.8,67.9,-0.006,2/16/2020
Wright St.,IUPUI,106,66,104.9,101.4,72.1,0.033,99.4,115.6,70.8,-0.068,2/16/2020
Siena,Manhattan,65,52,107.2,105.1,66.7,-0.001,92.8,101.6,65.8,-0.011,2/16/2020
Iona,Marist,78,70,101.6,106.1,68.7,-0.077,90.2,103.8,65.2,-0.105,2/16/2020
UConn,Memphis,64,61,101.6,106.1,68.7,-0.077,100.6,89.1,72.6,0.025,2/16/2020
Indiana St.,Missouri St.,58,71,105.8,101.2,66.4,0.043,104.8,100.2,68.3,-0.083,2/16/2020
Niagara,Monmouth,77,72,100.1,111.6,66,0.068,99.1,101.8,72.6,0.061,2/16/2020
Boston College,NC St.,71,68,99.6,100.3,69.3,0.065,99.1,101.8,72.6,0.061,2/16/2020
Rider,Quinnipiac,79,63,100.9,102.1,71.1,0.036,100.7,108.3,68.9,0.028,2/16/2020
Wichita St.,Tulane,82,57,105.6,90.4,69.5,0.041,101.9,103.1,68.7,-0.014,2/16/2020
Kansas,Iowa St.,91,71,115.8,85.5,67.3,0.04,109.6,101.2,69.9,-0.092,2/17/2020
Alcorn St.,Arkansas Pine Bluff,60,52,96.9,111.3,70.1,0.037,79,104.6,66.1,-0.008,2/17/2020
Delaware St.,Bethune Cookman,70,71,94.1,117.2,74.7,-0.042,95.4,105.8,73,0.012,2/17/2020
Holy Cross,Bucknell,48,69,95.9,117.3,68.3,-0.042,96.2,102.9,69.5,0.004,2/17/2020
Norfolk St.,Coppin St.,80,60,94.2,101.9,67.5,-0.052,89.6,105.3,73.4,0.038,2/17/2020
Maryland Eastern Shore,Florida A&M,81,71,81.7,107.8,67.5,-0.024,94.4,107.3,68.6,0.1,2/17/2020
Texas Southern,Grambling St.,93,79,99.1,108.6,72.9,0.086,93.1,105.1,68.7,0.046,2/17/2020
Portland St.,Idaho,90,69,108.8,108.8,71.8,0,92.8,107.1,68.9,-0.023,2/17/2020
Prairie View A&M,Jackson St.,70,61,96.3,100.5,70.7,-0.001,92.8,102.3,68.7,-0.012,2/17/2020
Southern,Mississippi Valley St.,95,62,97.2,104.8,66.8,0.006,89.8,117.6,77.1,-0.027,2/17/2020
South Carolina St.,Morgan St.,72,78,94.9,113.2,67.4,0.014,93.2,107.5,69.6,0.039,2/17/2020
Notre Dame,UNC,77,76,110.7,98.6,68.1,-0.021,93.2,107.5,69.6,0.039,2/17/2020
North Carolina A&T,North Carolina Central,77,60,92.3,102.4,73.7,0.068,94.2,103.2,66.6,0.065,2/17/2020
St. John's,Xavier,74,77,106.1,95.2,72.9,-0.037,106.1,92.2,68.1,-0.013,2/17/2020
Oklahoma,Baylor,54,65,108.8,93.1,69.6,0.031,113.5,88.1,66.2,0.016,2/18/2020
VCU,Dayton,61,66,104.7,94.4,69,-0.064,119.1,94.1,67.6,0.002,2/18/2020
Maryland,Northwestern,76,67,113.5,92.4,67,0.037,104.9,101.3,66.7,-0.087,2/18/2020
Florida St.,Pitt,82,67,111.7,91.5,69.9,0.065,104.9,101.3,66.7,-0.087,2/18/2020
Penn St.,Illinois,56,62,110.3,92.4,70.9,0.014,110.9,93.7,66,0.022,2/18/2020
LSU,Kentucky,76,79,118.1,102.4,70,-0.02,112.7,95.1,67.7,0.018,2/18/2020
Marquette,Creighton,65,73,114,96.9,70.7,-0.046,118.2,97.3,68.3,0.072,2/18/2020
West Virginia,Oklahoma St.,65,47,108.3,87.1,69.4,-0.028,107.2,94.5,68.4,0.034,2/18/2020
Western Michigan,Akron,67,71,99.4,105.7,67.4,0.043,108.5,98.9,69.4,0.022,2/18/2020
Florida,Arkansas,73,59,112.5,95.7,64.9,-0.047,109.1,95.5,71.2,-0.047,2/18/2020
Buffalo,Ball St.,72,59,104.1,102.3,73.9,0.045,99.2,94,68,-0.089,2/18/2020
Ohio,Central Michigan,77,69,103.6,103.3,68,-0.01,102,106.4,73.6,-0.036,2/18/2020
UNLV,Colorado St.,80,56,107.9,100.6,67,-0.019,109.3,102.1,69.3,0.045,2/18/2020
St. Joseph's,Davidson,73,72,107.9,100.6,67,-0.019,112.5,101.9,64.8,-0.094,2/18/2020
Central Connecticut,Fairleigh Dickinson,76,75,90.3,114,69.5,-0.014,102.1,112.4,68.9,-0.027,2/18/2020
Eastern Michigan,Kent St.,70,49,94.2,96.6,66.8,0.028,106.1,102.1,68.9,-0.011,2/18/2020
Bryant,Merrimack,61,52,97.8,103.8,70.3,-0.055,93.9,98.8,63.2,0.137,2/18/2020
Missouri,Ole Miss,71,68,104.1,96.7,66.5,-0.057,93.9,98.8,63.2,0.137,2/18/2020
Wagner,Mount St. Mary's,67,61,97.3,113.9,67.5,-0.024,96.4,107.5,63.2,-0.074,2/18/2020
New Mexico,Nevada,74,88,105.3,102.4,71.8,0.044,110.3,101,71,-0.007,2/18/2020
Wisconsin,Purdue,69,65,110.8,91.9,63.7,0.031,109.3,90.8,64.6,-0.104,2/18/2020
St. Francis PA,Robert Morris,86,71,107.6,107.9,68.9,0.037,100.5,103.8,66.1,0.027,2/18/2020
UMass,Saint Louis,67,63,107.6,107.9,68.9,0.037,105.8,94.4,67.6,0.026,2/18/2020
LIU,St. Francis NY,77,87,97.4,106.1,72.8,0.017,94.6,106.5,70.3,0.024,2/18/2020
UT Rio Grande Valley,Texas-Permian Basin,93,80,98.7,106,70.4,-0.013,94.6,106.5,70.3,0.024,2/18/2020
Tennessee,Vanderbilt,65,61,106.6,95.8,65.2,-0.02,104.7,104.5,69.4,-0.061,2/18/2020
