home,away,line,draft_kings,diff,score,date
Connecticut,DePaul,8.0,8.5,0.5,21,12/30/2020
Missouri,Tennessee,-3.0,-3.5,0.5,-20,12/30/2020
Fordham,George Washington,4.0,3.5,0.5,-24,12/30/2020
Chattanooga,Furman,-8.0,-7.5,0.5,-4,12/30/2020
San Jose St.,Boise St.,-16.0,-21.5,5.5,-52,12/31/2020
Idaho,Northern Arizona,-2.0,-4.0,2.0,-13,12/31/2020
Wisconsin,Minnesota,7.0,8.5,1.5,12,12/31/2020
UCLA,Utah,6.0,7.5,1.5,2,12/31/2020
Air Force,Utah St.,-11.0,-12.5,1.5,-35,12/31/2020
Maryland,Michigan,-1.0,-2.0,1.0,-11,12/31/2020
Oregon,California,15.0,14.0,1.0,13,12/31/2020
Winthrop,Campbell,13.0,14.0,1.0,18,12/31/2020
Presbyterian,Radford,-6.0,-5.0,1.0,2,12/31/2020
Washington,Arizona,-9.0,-8.5,0.5,-27,12/31/2020
USC,Colorado,1.0,1.5,0.5,-10,12/31/2020
New Mexico,Nevada,-5.0,-5.5,0.5,-14,12/31/2020
San Francisco,San Diego,13.0,12.5,0.5,8,12/31/2020
Oakland,Wright St.,-11.0,-6.5,4.5,-39,1/1/2021
Kennesaw St.,Jacksonville,-6.0,-1.5,4.5,-5,1/1/2021
Georgia Southern,South Alabama,-1.0,3.5,4.5,-29,1/1/2021
Louisiana Monroe,Arkansas St.,-1.0,2.5,3.5,12,1/1/2021
Louisiana Tech,Marshall,-2.0,1.0,3.0,7,1/1/2021
Lipscomb,Liberty,-9.0,-7.0,2.0,7,1/1/2021
Southern Miss,UTEP,-7.0,-5.0,2.0,8,1/1/2021
FIU,Old Dominion,-3.0,-1.5,1.5,15,1/1/2021
Coastal Carolina,Georgia St.,-5.0,-3.5,1.5,12,1/1/2021
Rice,UTSA,-4.0,-2.5,1.5,9,1/1/2021
Louisiana,Texas St.,1.0,2.5,1.5,6,1/1/2021
Charlotte,Western Kentucky,-8.0,-6.5,1.5,-4,1/1/2021
Youngstown St.,Green Bay,7.0,7.5,0.5,7,1/1/2021
Akron,Kent St.,3.0,3.5,0.5,4,1/1/2021
Marist,Niagara,-1.0,-1.5,0.5,2,1/1/2021
Appalachian St.,Troy,8.0,7.5,0.5,-13,1/1/2021
Robert Morris,Milwaukee,2.0,2.5,0.5,3,1/1/2021
IUPUI,Cleveland St.,-3.0,-3.0,0.0,-3,1/1/2021
San Jose St.,Boise St.,-18.0,-26.5,8.5,-1,1/2/2021
Georgia Southern,South Alabama,-5.0,2.0,7.0,13,1/2/2021
Evansville,Northern Iowa,-12.0,-6.0,6.0,4,1/2/2021
Eastern Illinois,Tennessee Tech,12.0,7.0,5.0,6,1/2/2021
Washington St.,Arizona,-12.0,-7.5,4.5,-4,1/2/2021
Tulane,East Carolina,-5.0,-0.5,4.5,4,1/2/2021
Western Michigan,Toledo,-12.0,-8.0,4.0,-11,1/2/2021
Oklahoma,West Virginia,-2.0,2.0,4.0,4,1/2/2021
Western Illinois,North Dakota St.,-10.0,-6.5,3.5,-18,1/2/2021
Oakland,Wright St.,-13.0,-9.5,3.5,10,1/2/2021
Cincinnati,Tulsa,2.0,5.5,3.5,-4,1/2/2021
Boston College,Louisville,-8.0,-5.0,3.0,-12,1/2/2021
North Carolina,Notre Dame,7.0,10.0,3.0,1,1/2/2021
Arkansas,Missouri,4.0,7.0,3.0,-13,1/2/2021
Texas A&M,Auburn,-1.0,1.5,2.5,2,1/2/2021
Loyola Chicago,North Texas,9.0,6.5,2.5,8,1/2/2021
Lehigh,Lafayette,-3.0,-0.5,2.5,1,1/2/2021
Georgetown,Marquette,-7.0,-4.5,2.5,-4,1/2/2021
Kansas St.,TCU,-7.0,-4.5,2.5,-7,1/2/2021
San Diego St.,Colorado St.,10.0,8.0,2.0,-3,1/2/2021
Dayton,George Mason,9.0,7.0,2.0,9,1/2/2021
Texas Tech,Oklahoma St.,6.0,8.0,2.0,-5,1/2/2021
Louisiana,Texas St.,1.0,3.0,2.0,-12,1/2/2021
Northeastern,Elon,3.0,5.0,2.0,23,1/2/2021
Illinois,Purdue,6.0,8.0,2.0,8,1/2/2021
Abilene Christian,Lamar,15.0,13.0,2.0,18,1/2/2021
UCLA,Colorado,0.0,2.0,2.0,3,1/2/2021
Maine,New Hampshire,-9.0,-7.0,2.0,3,1/2/2021
Stephen F. Austin,New Orleans,11.0,9.0,2.0,11,1/2/2021
South Carolina St.,North Carolina A&T,-11.0,-9.0,2.0,-11,1/2/2021
Charlotte,Western Kentucky,-8.0,-6.0,2.0,4,1/2/2021
Florida,LSU,0.0,1.5,1.5,4,1/2/2021
Lipscomb,Liberty,-7.0,-5.5,1.5,-16,1/2/2021
Iowa St.,Baylor,-17.0,-15.5,1.5,-11,1/2/2021
Providence,Creighton,-5.0,-3.5,1.5,-2,1/2/2021
Arkansas Pine Bluff,Mississippi Valley St.,10.0,11.5,1.5,40,1/2/2021
Tennessee,Alabama,8.0,9.5,1.5,-8,1/2/2021
Louisiana Monroe,Arkansas St.,1.0,2.5,1.5,7,1/2/2021
Oregon St.,California,1.0,2.5,1.5,9,1/2/2021
Appalachian St.,Troy,5.0,6.5,1.5,31,1/2/2021
Miami FL,Clemson,-5.0,-3.5,1.5,-1,1/2/2021
Weber St.,Utah Valley,4.0,5.5,1.5,8,1/2/2021
South Florida,UCF,0.0,1.5,1.5,7,1/2/2021
Navy,Bucknell,6.0,4.5,1.5,9,1/2/2021
Rice,UTSA,-3.0,-1.5,1.5,15,1/2/2021
Coastal Carolina,Georgia St.,-3.0,-2.0,1.0,-8,1/2/2021
Houston Baptist,Northwestern St.,-5.0,-4.0,1.0,6,1/2/2021
Kansas,Texas,3.0,4.0,1.0,-25,1/2/2021
Idaho,Northern Arizona,-4.0,-3.0,1.0,-5,1/2/2021
Tennessee Martin,Belmont,-17.0,-16.0,1.0,-21,1/2/2021
Marist,Niagara,-0.0,1.0,1.0,-14,1/2/2021
Nebraska Omaha,Oral Roberts,-3.0,-2.0,1.0,-12,1/2/2021
Wofford,Samford,11.0,10.0,1.0,10,1/2/2021
USC,Utah,4.0,5.0,1.0,18,1/2/2021
Southeast Missouri St.,Tennessee St.,1.0,2.0,1.0,4,1/2/2021
Hofstra,William & Mary,11.0,10.0,1.0,5,1/2/2021
George Washington,Duquesne,-9.0,-8.0,1.0,-12,1/2/2021
Air Force,Utah St.,-14.0,-14.5,0.5,-19,1/2/2021
Nicholls St.,Sam Houston St.,5.0,4.5,0.5,-3,1/2/2021
FIU,Old Dominion,-1.0,-1.5,0.5,-5,1/2/2021
Ball St.,Ohio,-1.0,-0.5,0.5,-10,1/2/2021
Southern Miss,UTEP,-5.0,-5.5,0.5,-15,1/2/2021
Gonzaga,San Francisco,19.0,19.5,0.5,23,1/2/2021
Montana,Northern Colorado,7.0,7.5,0.5,-2,1/2/2021
La Salle,Fordham,7.0,6.5,0.5,37,1/2/2021
Nebraska,Michigan St.,-8.0,-8.5,0.5,-7,1/2/2021
Oregon,Stanford,5.0,5.5,0.5,17,1/2/2021
Colgate,Army,8.0,7.5,0.5,44,1/2/2021
Hartford,Binghamton,7.0,7.5,0.5,20,1/2/2021
VMI,Chattanooga,-4.0,-3.5,0.5,5,1/2/2021
IUPUI,Cleveland St.,-3.0,-2.5,0.5,-10,1/2/2021
South Dakota,Denver,9.0,9.5,0.5,39,1/2/2021
Fresno St.,Wyoming,0.0,-0.5,0.5,-4,1/2/2021
Mississippi St.,Kentucky,-1.0,-1.5,0.5,-5,1/2/2021
Louisiana Tech,Marshall,-1.0,-0.5,0.5,-7,1/2/2021
Furman,Mercer,11.0,10.5,0.5,3,1/2/2021
Murray St.,Morehead St.,13.0,13.5,0.5,-5,1/2/2021
Youngstown St.,Green Bay,7.0,7.0,0.0,-10,1/2/2021
New Mexico,Nevada,-6.0,-6.0,0.0,-10,1/2/2021
Austin Peay,Eastern Kentucky,5.0,5.0,0.0,-5,1/2/2021
Missouri St.,Indiana St.,4.0,4.0,0.0,10,1/2/2021
McNeese St.,Central Arkansas,-3.0,-3.0,0.0,-14,1/2/2021
Richmond,St. Bonaventure,5.0,5.0,0.0,-3,1/2/2021
South Carolina,Florida A&M,19.0,19.0,0.0,7,1/2/2021
Evansville,Northern Iowa,-10.0,-6.0,4.0,6,1/3/2021
Minnesota,Ohio St.,-3.0,1.0,4.0,17,1/3/2021
Colgate,Army,11.0,7.5,3.5,-2,1/3/2021
Western Illinois,North Dakota St.,-11.0,-7.5,3.5,-11,1/3/2021
Georgia Tech,Wake Forest,7.0,9.5,2.5,16,1/3/2021
Bucknell,Navy,-4.0,-1.5,2.5,-3,1/3/2021
Maine,New Hampshire,-7.0,-5.5,1.5,-4,1/3/2021
Lafayette,Lehigh,6.0,4.5,1.5,12,1/3/2021
SMU,Houston,-4.0,-2.5,1.5,-14,1/3/2021
Northeastern,Elon,5.0,6.5,1.5,8,1/3/2021
Nebraska Omaha,Oral Roberts,-5.0,-3.5,1.5,-11,1/3/2021
George Washington,Duquesne,-9.0,-7.5,1.5,2,1/3/2021
Hartford,Binghamton,9.0,8.0,1.0,3,1/3/2021
South Dakota,Denver,12.0,12.5,0.5,22,1/3/2021
Drake,Southern Illinois,11.0,10.5,0.5,18,1/3/2021
Missouri St.,Indiana St.,5.0,5.0,0.0,4,1/3/2021
South Carolina St.,North Carolina A&T,-10.0,-10.0,0.0,-7,1/3/2021
Michigan,Northwestern,8.0,8.0,0.0,19,1/3/2021
Hofstra,William & Mary,11.0,11.0,0.0,9,1/3/2021
Indiana,Maryland,1.0,4.5,3.5,8,1/4/2021
Holy Cross,Boston University,-12.0,-9.5,2.5,-7,1/4/2021
Fresno St.,Wyoming,0.0,2.5,2.5,20,1/4/2021
Gardner Webb,Campbell,4.0,5.5,1.5,-9,1/4/2021
Coppin St.,Delaware St.,8.0,9.5,1.5,8,1/4/2021
Radford,Hampton,5.0,6.0,1.0,13,1/4/2021
Montana,Northern Colorado,6.0,5.0,1.0,2,1/4/2021
Drake,Southern Illinois,12.0,11.0,1.0,31,1/4/2021
Charleston Southern,Winthrop,-13.0,-14.0,1.0,-16,1/4/2021
San Diego St.,Colorado St.,8.0,7.5,0.5,13,1/4/2021
Alabama St.,Jackson St.,-5.0,-5.5,0.5,-16,1/4/2021
Oregon St.,Stanford,-7.0,-6.5,0.5,-10,1/4/2021
Oklahoma St.,West Virginia,-2.0,-2.0,0.0,-3,1/4/2021
USC Upstate,Longwood,3.0,3.0,0.0,2,1/4/2021
Kent St.,Toledo,-5.0,2.0,7.0,-2,1/5/2021
Gardner Webb,Campbell,2.0,5.5,3.5,15,1/5/2021
Fordham,Dayton,-16.0,-12.5,3.5,1,1/5/2021
Alabama,Florida,-0.0,3.0,3.0,15,1/5/2021
Duquesne,Davidson,-2.0,1.0,3.0,13,1/5/2021
Texas,Iowa St.,14.0,12.0,2.0,6,1/5/2021
Ohio,Northern Illinois,17.0,15.0,2.0,3,1/5/2021
Radford,Hampton,6.0,4.5,1.5,11,1/5/2021
Coppin St.,Delaware St.,8.0,9.5,1.5,4,1/5/2021
Charleston Southern,Winthrop,-14.0,-13.0,1.0,-2,1/5/2021
USC Upstate,Longwood,3.0,2.5,0.5,6,1/5/2021
Texas Tech,Kansas St.,16.0,15.5,0.5,11,1/5/2021
Kentucky,Vanderbilt,11.0,11.5,0.5,3,1/5/2021
TCU,Kansas,-6.0,-6.0,0.0,-29,1/5/2021
Bowling Green,Central Michigan,9.0,9.0,0.0,21,1/5/2021
Mississippi St.,Missouri,-2.0,-2.0,0.0,15,1/5/2021
Wofford,UNC Greensboro,3.0,-0.5,3.5,-9,1/6/2021
Southeastern Louisiana,Sam Houston St.,-2.0,-5.0,3.0,-18,1/6/2021
LSU,Georgia,12.0,9.0,3.0,2,1/6/2021
Tennessee,Arkansas,6.0,8.5,2.5,5,1/6/2021
Houston Baptist,Abilene Christian,-14.0,-16.0,2.0,-3,1/6/2021
Chattanooga,Samford,8.0,6.0,2.0,5,1/6/2021
Michigan,Minnesota,6.0,7.5,1.5,25,1/6/2021
Louisville,Virginia Tech,3.0,4.5,1.5,2,1/6/2021
Duke,Boston College,14.0,12.5,1.5,1,1/6/2021
Boise St.,Air Force,17.0,18.5,1.5,19,1/6/2021
Richmond,Rhode Island,5.0,4.0,1.0,7,1/6/2021
Baylor,Oklahoma,13.0,12.0,1.0,15,1/6/2021
Virginia,Wake Forest,15.0,14.0,1.0,9,1/6/2021
New Mexico,Utah St.,-12.0,-13.0,1.0,-32,1/6/2021
South Carolina,Texas A&M,4.0,3.5,0.5,24,1/6/2021
South Florida,Tulsa,-1.0,-0.5,0.5,-10,1/6/2021
Nicholls St.,Lamar,8.0,7.5,0.5,7,1/6/2021
Central Arkansas,New Orleans,8.0,7.5,0.5,4,1/6/2021
Northwestern St.,Incarnate Word,8.0,7.5,0.5,-8,1/6/2021
Butler,Georgetown,5.0,4.5,0.5,8,1/6/2021
Houston,Wichita St.,12.0,11.5,0.5,7,1/6/2021
George Mason,VCU,-6.0,-6.5,0.5,-5,1/6/2021
California,Washington St.,2.0,-2.5,4.5,-11,1/7/2021
Belmont,Southeast Missouri St.,18.0,15.5,2.5,11,1/7/2021
Southern Utah,Idaho,16.0,13.5,2.5,5,1/7/2021
Stanford,Washington,12.0,9.5,2.5,16,1/7/2021
Morehead St.,Tennessee Tech,6.0,3.5,2.5,3,1/7/2021
Northwestern,Illinois,-5.0,-7.0,2.0,-25,1/7/2021
Northern Arizona,Idaho St.,0.0,2.0,2.0,-4,1/7/2021
Wisconsin,Indiana,7.0,8.5,1.5,7,1/7/2021
Colorado,Oregon,1.0,2.5,1.5,7,1/7/2021
SMU,Cincinnati,7.0,5.5,1.5,-7,1/7/2021
Northern Colorado,Montana St.,2.0,3.5,1.5,-12,1/7/2021
Eastern Illinois,Murray St.,-2.0,-3.5,1.5,6,1/7/2021
Maryland,Iowa,-5.0,-6.0,1.0,-22,1/7/2021
Colorado St.,UNLV,7.0,8.0,1.0,3,1/7/2021
Arizona,USC,2.0,2.5,0.5,-14,1/7/2021
Gonzaga,BYU,18.0,17.5,0.5,17,1/7/2021
San Francisco,Portland,18.0,17.5,0.5,24,1/7/2021
Eastern Kentucky,Jacksonville St.,4.0,3.5,0.5,3,1/7/2021
Merrimack,Sacred Heart,4.0,4.0,0.0,7,1/7/2021
Hofstra,Northeastern,4.0,4.0,0.0,-3,1/7/2021
Arizona St.,UCLA,-2.0,-2.0,0.0,-6,1/7/2021
San Diego St.,Nevada,13.0,13.0,0.0,5,1/7/2021
Green Bay,Oakland,2.0,-2.0,4.0,3,1/8/2021
Davidson,Dayton,3.0,7.0,4.0,-11,1/8/2021
Michigan St.,Purdue,1.0,4.5,3.5,-1,1/8/2021
Bellarmine,Lipscomb,-1.0,2.5,3.5,-5,1/8/2021
South Dakota St.,Western Illinois,22.0,18.5,3.5,6,1/8/2021
Cal St. Fullerton,Long Beach St.,-2.0,1.5,3.5,-2,1/8/2021
Quinnipiac,Manhattan,6.0,2.5,3.5,5,1/8/2021
Appalachian St.,Georgia Southern,5.0,2.0,3.0,3,1/8/2021
North Alabama,Stetson,0.0,3.0,3.0,-9,1/8/2021
Toledo,Ohio,6.0,3.5,2.5,17,1/8/2021
Tarleton St.,Grand Canyon,-12.0,-9.5,2.5,-3,1/8/2021
Wright St.,Youngstown St.,10.0,12.5,2.5,-2,1/8/2021
Liberty,Kennesaw St.,24.0,21.5,2.5,6,1/8/2021
UTEP,Rice,6.0,8.0,2.0,12,1/8/2021
UTSA,North Texas,-5.0,-6.5,1.5,-7,1/8/2021
Oral Roberts,North Dakota,12.0,10.5,1.5,-1,1/8/2021
Jacksonville,North Florida,0.0,1.5,1.5,1,1/8/2021
Cleveland St.,Northern Kentucky,3.0,1.5,1.5,14,1/8/2021
UMKC,South Dakota,-3.0,-1.5,1.5,-2,1/8/2021
Coastal Carolina,South Alabama,4.0,5.0,1.0,13,1/8/2021
New Mexico,Utah St.,-14.0,-15.0,1.0,-36,1/8/2021
Old Dominion,Florida Atlantic,9.0,8.0,1.0,4,1/8/2021
Western Kentucky,Louisiana Tech,6.0,7.0,1.0,2,1/8/2021
Merrimack,Sacred Heart,4.0,4.5,0.5,-6,1/8/2021
UC Riverside,Hawaii,6.0,6.5,0.5,-5,1/8/2021
Boise St.,Air Force,18.0,18.5,0.5,11,1/8/2021
Cal St. Bakersfield,Cal Poly,13.0,12.5,0.5,13,1/8/2021
Milwaukee,IUPUI,5.0,5.5,0.5,24,1/8/2021
Liberty,Kennesaw St.,22,17.5,4.5,29,1/9/2021
South Dakota St.,Western Illinois,20,16.0,4.0,29,1/9/2021
Houston,Tulane,22,18.0,4.0,21,1/9/2021
Green Bay,Oakland,2,-1.5,3.5,9,1/9/2021
Vanderbilt,Mississippi St.,-7,-3.5,3.5,-3,1/9/2021
Stanford,Washington St.,11,7.5,3.5,15,1/9/2021
Cal St. Fullerton,Long Beach St.,-2,1.5,3.5,3,1/9/2021
Quinnipiac,Manhattan,6,2.5,3.5,-3,1/9/2021
Tarleton St.,Grand Canyon,-11,-8.0,3.0,-11,1/9/2021
TCU,Baylor,-15,-12.0,3.0,-18,1/9/2021
Appalachian St.,Georgia Southern,5,2.0,3.0,6,1/9/2021
Fairfield,Siena,-12,-9.0,3.0,-16,1/9/2021
Arizona,UCLA,0,3.0,3.0,-5,1/9/2021
Utah,Oregon,-5,-2.0,3.0,-6,1/9/2021
Binghamton,Vermont,-14,-11.0,3.0,-16,1/9/2021
UNC Greensboro,Wofford,2,5.0,3.0,-3,1/9/2021
Charleston,Drexel,-3,-0.5,2.5,1,1/9/2021
Bucknell,Lafayette,0,2.5,2.5,-23,1/9/2021
Evansville,Illinois St.,2,4.5,2.5,9,1/9/2021
Northeastern,Hofstra,1,-1.5,2.5,11,1/9/2021
Portland,Gonzaga,-30,-32.5,2.5,-28,1/9/2021
Wright St.,Youngstown St.,8,10.5,2.5,38,1/9/2021
West Virginia,Texas,-1,1.5,2.5,-2,1/9/2021
VCU,Rhode Island,4,6.0,2.0,-15,1/9/2021
Kent St.,Western Michigan,9,11.0,2.0,26,1/9/2021
Jacksonville,North Florida,0,2.0,2.0,-2,1/9/2021
UMKC,South Dakota,-3,-1.0,2.0,-6,1/9/2021
Northern Colorado,Montana St.,0,2.0,2.0,-2,1/9/2021
East Carolina,South Florida,-1,1.0,2.0,-6,1/9/2021
Eastern Michigan,Akron,-4,-6.0,2.0,12,1/9/2021
Western Kentucky,Louisiana Tech,5,7.0,2.0,-5,1/9/2021
Bellarmine,Lipscomb,-1,1.0,2.0,-7,1/9/2021
Buffalo,Ball St.,5,6.5,1.5,17,1/9/2021
Central Arkansas,Sam Houston St.,3,1.5,1.5,-11,1/9/2021
Colorado St.,UNLV,6,7.5,1.5,3,1/9/2021
Norfolk St.,Morgan St.,6,4.5,1.5,-4,1/9/2021
Arizona St.,USC,-3,-1.5,1.5,-9,1/9/2021
New Orleans,Incarnate Word,5,3.5,1.5,22,1/9/2021
Lehigh,Navy,-5,-3.5,1.5,-8,1/9/2021
Southern Utah,Idaho,15,13.5,1.5,16,1/9/2021
California,Washington,1,2.5,1.5,6,1/9/2021
Eastern Kentucky,Tennessee Tech,11,10.0,1.0,10,1/9/2021
UTEP,Rice,7,8.0,1.0,-3,1/9/2021
Miami OH,Northern Illinois,8,7.0,1.0,12,1/9/2021
Kansas,Oklahoma,6,7.0,1.0,4,1/9/2021
Duquesne,Fordham,13,14.0,1.0,3,1/9/2021
Oral Roberts,North Dakota,10,9.0,1.0,17,1/9/2021
Cal St. Bakersfield,Cal Poly,14,13.0,1.0,17,1/9/2021
UMass Lowell,Hartford,3,2.0,1.0,9,1/9/2021
Auburn,Alabama,-4,-5.0,1.0,-4,1/9/2021
Lamar,Houston Baptist,6,7.0,1.0,6,1/9/2021
Arkansas Pine Bluff,Alabama St.,6,5.0,1.0,9,1/9/2021
Kansas St.,Oklahoma St.,-9,-8.0,1.0,-16,1/9/2021
Eastern Illinois,Austin Peay,2,1.0,1.0,-3,1/9/2021
Morehead St.,Jacksonville St.,-1,-2.0,1.0,1,1/9/2021
Holy Cross,Army,-7,-6.0,1.0,-15,1/9/2021
Iowa St.,Texas Tech,-7,-7.5,0.5,-27,1/9/2021
North Alabama,Stetson,-1,-0.5,0.5,7,1/9/2021
Texas A&M,Tennessee,-11,-10.5,0.5,-14,1/9/2021
Duke,Wake Forest,14,14.5,0.5,11,1/9/2021
George Mason,Richmond,-7,-6.5,0.5,-20,1/9/2021
Florida,Kentucky,5,4.5,0.5,-18,1/9/2021
New Hampshire,UMBC,0,-0.5,0.5,-15,1/9/2021
William & Mary,Delaware,1,1.5,0.5,5,1/9/2021
UTSA,North Texas,-6,-6.5,0.5,8,1/9/2021
Old Dominion,Florida Atlantic,8,7.5,0.5,9,1/9/2021
San Diego St.,Nevada,12,11.5,0.5,2,1/9/2021
Syracuse,Georgetown,11,10.5,0.5,5,1/9/2021
Boston University,Colgate,-4,-3.5,0.5,-7,1/9/2021
Valparaiso,Missouri St.,-2,-2.5,0.5,-13,1/9/2021
Arkansas,Georgia,8,8.5,0.5,30,1/9/2021
Boston College,Virginia,-9,-8.5,0.5,-12,1/9/2021
Northern Arizona,Idaho St.,-1,-1.5,0.5,-6,1/9/2021
UC Riverside,Hawaii,5,5.0,0.0,2,1/9/2021
Longwood,Campbell,-2,-2.0,0.0,-6,1/9/2021
Charleston Southern,Radford,-1,-1.0,0.0,-15,1/9/2021
Milwaukee,IUPUI,7,7.0,0.0,8,1/9/2021
Nicholls St.,Southeastern Louisiana,10,10.0,0.0,20,1/9/2021
Coastal Carolina,South Alabama,5,5.0,0.0,14,1/9/2021
Saint Mary's,Santa Clara,9,9.0,0.0,-2,1/9/2021
Cleveland St.,Northern Kentucky,4,4.0,0.0,3,1/9/2021
McNeese St.,Northwestern St.,1,1.0,0.0,-3,1/9/2021
The Citadel,Chattanooga,-7,-7.0,0.0,5,1/9/2021
Nebraska,Indiana,-10.0,-6.5,3.5,-8,1/10/2021
Fairfield,Siena,-13.0,-9.5,3.5,-7,1/10/2021
Binghamton,Vermont,-15.0,-12.0,3.0,-40,1/10/2021
Evansville,Illinois St.,3.0,5.5,2.5,-5,1/10/2021
Norfolk St.,Morgan St.,5.0,3.0,2.0,4,1/10/2021
Lafayette,Bucknell,8.0,6.5,1.5,11,1/10/2021
Xavier,Providence,2.0,3.5,1.5,1,1/10/2021
Iowa,Minnesota,9.0,10.5,1.5,15,1/10/2021
Charleston,Drexel,-3.0,-2.0,1.0,5,1/10/2021
Navy,Lehigh,9.0,8.0,1.0,15,1/10/2021
Northern Iowa,Bradley,1.0,2.0,1.0,6,1/10/2021
UMass Lowell,Hartford,4.0,3.5,0.5,-17,1/10/2021
Army,Holy Cross,12.0,11.5,0.5,-9,1/10/2021
Illinois,Maryland,9.0,9.5,0.5,-3,1/10/2021
Longwood,Campbell,-2.0,-1.5,0.5,9,1/10/2021
Valparaiso,Missouri St.,-4.0,-3.5,0.5,-10,1/10/2021
Boston University,Colgate,-4.0,-3.5,0.5,-44,1/10/2021
Wichita St.,Cincinnati,2.0,2.5,0.5,6,1/10/2021
Loyola Marymount,San Francisco,-4.0,-3.5,0.5,8,1/10/2021
Florida A&M,South Carolina St.,17.0,16.5,0.5,2,1/10/2021
New Hampshire,UMBC,-3.0,-3.0,0.0,-2,1/10/2021
Charleston Southern,Radford,-3.0,-3.0,0.0,-20,1/10/2021
Virginia Tech,Notre Dame,7.0,7.0,0.0,14,1/10/2021
Prairie View A&M,Texas Southern,-3.0,-1.0,2.0,4,1/11/2021
Utah,Colorado,-5.0,-3.5,1.5,-7,1/11/2021
Northern Iowa,Bradley,1.0,2.0,1.0,-2,1/11/2021
SMU,Temple,12.0,11.0,1.0,11,1/11/2021
Wyoming,Boise St.,-8.0,-8.5,0.5,-23,1/11/2021
